Number;Frequency
0;29472
7;316847
14;48756
21;90819
28;15161
35;92442
42;187475
49;4224
56;35432
63;1676
70;7771
77;446
84;4099
91;3036
98;212
105;521
112;91
119;1932
126;199
133;75
140;629
147;113
154;145
161;18
168;70
175;472
182;21
189;35
196;9
203;41
210;39
217;3
224;10
231;1
238;135
245;2
252;7
259;13
266;9
273;2
280;0
287;18
294;79
301;0
308;3
315;2
322;8
329;2
336;8
343;3
350;0
357;84
364;2
