cancelled;onBehalf;jointProcurement;fraAgreement;accelerated;outOfDirectives;contractorSme;subContracted;gpa;renewal;awardEstimatedPrice;awardPrice;numberTenders;lotsNumber;numberTendersSme;contractDuration;publicityDuration
0;0;0;1;0;0;0;0;0;0;140644,18;135681,11;6,1;19,67;1,27;29,2;45,35
0;0;0;1;1;0;1;0;1;0;176085,71;137029,12;4,88;2,3;3,0;23,8;28,36
0;0;0;1;1;0;0;0;1;0;275272,73;241054,42;5,94;2,68;1,0;38,44;28,65
0;1;0;1;0;0;1;1;1;1;403833,33;265196,14;4,88;3,5;4,5;22,5;49,76
0;1;1;1;0;0;1;0;0;1;261384,5;160323,92;21,29;39,67;2,83;21,17;37,4
0;0;0;1;1;0;1;0;0;1;570000,0;79924,69;9,31;40,92;1,0;12,0;37,38
0;0;0;0;1;0;1;0;1;0;218507,31;216632,72;3,52;10,03;3,84;23,02;28,36
0;1;0;1;0;0;1;0;0;1;405000,0;151336,85;10,92;36,95;0,0;35,22;36,87
0;1;0;1;0;0;1;0;0;0;220800,08;171350,61;2,83;5,35;2,91;45,0;35,0
0;1;1;0;0;0;1;1;0;0;260000,0;377543,92;3,75;9,29;0,0;26,0;35,29
0;1;1;1;1;0;1;0;0;1;0,0;149615,31;5,5;52,75;0,0;12,0;20,0
0;1;1;1;0;0;1;1;0;0;0,0;252052,75;4,12;1,88;4,5;36,0;40,0
0;0;0;1;0;0;1;0;1;0;213662,66;158052,34;5,09;11,26;3,25;40,31;40,7
0;1;1;1;1;0;0;0;1;0;0,0;248533,5;2,5;1,5;0,0;48,0;31,5
0;1;1;1;1;0;1;0;1;0;0,0;68779,86;3,14;2,14;0,0;48,0;31,18
0;1;0;1;0;0;1;1;1;0;613333,33;271645,19;2,33;4,1;3,5;49,35;44,35
0;0;0;1;0;0;0;1;1;0;288553,16;250163,53;4,98;19,56;2,9;37,09;42,52
0;1;0;1;0;0;0;0;0;1;257551,39;193431,52;4,59;61,37;0,0;25,08;48,27
0;0;0;0;0;0;1;0;0;1;141926,49;107968,23;11,28;15,37;9,25;21,87;42,32
0;0;0;0;0;0;1;1;0;0;208712,94;152646,31;4,28;7,24;2,94;22,06;39,59
0;1;1;1;0;0;1;1;1;0;233127,57;211837,93;8,33;3,1;1,93;43,93;43,31
0;0;0;0;0;0;0;0;0;0;135772,78;126382,36;5,45;9,93;2,55;29,12;46,45
0;0;0;1;1;0;0;1;1;0;0,0;228400,0;8,5;1,0;0,0;6,0;18,0
0;1;0;1;0;0;0;0;1;1;247487,46;165664,09;3,6;41,47;1,34;26,93;48,22
0;0;0;0;0;0;1;0;1;0;171288,01;173046,94;4,56;7,98;3,54;25,49;40,14
