cancelled;onBehalf;jointProcurement;fraAgreement;accelerated;outOfDirectives;contractorSme;subContracted;gpa;renewal;awardEstimatedPrice;awardPrice;numberTenders;lotsNumber;numberTendersSme;contractDuration;publicityDuration
0;1;1;1;1;0;1;0;1;0;0;962918;44;30;0;528;343
0;1;0;1;0;0;1;1;1;0;1840000;5704549;49;86;7;987;887
0;0;0;1;0;0;0;1;1;0;251906906;773755799;15413;60509;171;79215;99379
0;1;0;1;0;0;0;0;0;1;18286149;49131606;1167;15589;0;6269;12261
0;0;0;0;0;0;1;0;0;1;118792469;541352701;56569;77041;8902;105782;212213
0;0;0;0;0;0;1;1;0;0;29219811;277358354;7772;13157;421;13809;25497
0;1;1;1;0;0;1;1;1;0;3263786;18641738;733;273;27;3207;3205
0;0;0;0;0;0;0;0;0;0;1935440967;8334158639;359378;654874;1764;777486;1655088
0;0;0;1;1;0;0;1;1;0;0;456800;17;2;0;6;18
0;1;0;1;0;0;0;0;1;1;163589214;324535962;7046;81242;59;49420;94462
0;0;0;0;0;0;1;0;1;0;556514739;4763117055;125542;219599;13676;487901;827419
0;0;0;0;1;0;1;0;1;1;1205850;6739602;274;407;108;1157;2172
0;1;1;1;0;0;1;1;0;1;674285;6576080;108;83;1;287;655
0;1;0;0;0;0;1;0;1;1;26813514;32413186;1329;2611;33;4152;8524
0;0;0;1;0;0;0;0;0;1;402885889;1201829694;98887;225470;395;184913;363615
0;0;0;0;0;0;0;0;0;1;614613719;2476991264;146003;293179;2397;393943;888727
0;0;0;1;1;0;1;1;1;1;0;812719;14;10;0;36;91
0;1;1;1;0;0;0;1;0;1;477290;19787992;422;154;0;983;1793
0;0;0;0;0;0;1;1;1;1;42430065;240391079;4657;11355;490;25555;48648
0;1;1;0;1;0;0;0;1;0;0;1087050;47;63;0;696;606
0;0;0;0;0;0;0;0;1;1;1245803390;5817987936;244345;484969;2128;868238;1894783
0;1;0;0;0;0;1;1;0;0;0;192769;4;4;0;0;0
0;0;0;0;1;0;0;1;1;1;0;1728919;11;9;0;60;164
0;0;0;1;1;0;1;1;1;0;170000;143344;2;2;1;90;31
0;1;0;0;0;0;0;0;0;1;11549678;57971050;3084;9078;9;7975;28248
0;1;1;0;0;0;1;0;0;0;8075802;22388109;648;2537;295;2896;4348
0;1;0;0;0;0;0;0;1;0;110657388;603216967;26152;106492;7;72793;132842
0;0;0;1;0;0;0;1;0;1;18933275;121069226;2155;2450;52;9928;18535
0;0;0;1;0;0;0;1;1;1;225697973;1217968331;23649;38521;389;112522;228535
0;1;1;0;0;0;0;0;0;0;9684255;56387347;2119;5078;21;13173;15093
0;0;0;1;0;0;1;1;1;0;60369216;232746661;5266;9016;299;28727;34045
0;0;0;1;1;0;0;0;1;1;2129439;25300406;609;1042;14;2132;3896
0;1;1;0;0;0;1;1;1;0;2848305;24063821;225;507;3;2381;3092
0;1;1;0;0;0;1;1;1;1;4245792;19155891;539;708;9;1628;3666
0;0;0;0;0;0;1;1;0;1;5524647;40186431;1258;2223;108;5501;10755
0;1;1;1;0;0;0;0;1;1;74626646;586059659;22546;70755;227;80453;166494
0;1;1;0;0;0;1;0;1;1;62575553;202679651;6295;22716;1343;29356;67608
0;1;1;0;1;0;1;0;1;1;4461000;5188039;116;57;0;285;601
0;0;0;1;0;0;1;0;0;1;95619808;507352506;48189;104450;1924;78060;162504
0;1;0;0;0;0;1;0;1;0;9595475;32601335;532;1190;66;1627;1834
0;1;1;1;1;0;0;0;1;1;446370;1933892;36;16;0;118;304
0;1;1;1;0;0;0;1;0;0;0;3242572;26;148;0;139;190
0;1;0;1;0;0;0;1;0;1;500000;700000;13;3;0;24;98
0;1;1;1;0;0;1;0;0;0;2266410;44118845;886;3655;18;4022;4451
0;1;0;1;1;0;0;0;1;1;0;700000;5;27;0;24;72
0;0;0;1;0;0;1;1;0;0;11841026;50451038;1155;2387;107;4339;5460
0;1;0;0;0;0;0;1;0;1;502329;2291872;16;6;0;99;282
0;0;0;0;0;0;1;0;1;1;576918782;2580149818;129657;209599;9701;432479;811325
0;1;1;1;0;0;1;1;1;1;8702832;61088351;1275;1658;82;4698;11272
0;0;0;0;1;0;0;1;0;0;0;479485;1;2;0;66;30
0;0;0;0;0;0;0;1;0;0;158109263;1052227383;27055;60310;84;36983;94589
0;1;0;0;0;0;1;0;0;1;0;2272886;32;66;0;501;714
0;0;0;0;1;0;0;0;0;1;773906;2945505;66;44;13;224;453
0;1;0;0;0;0;0;1;0;0;2881333;13868297;257;326;0;836;1989
0;0;0;1;1;0;1;0;1;1;3134138;28678294;953;1624;175;3109;6395
0;0;0;1;0;0;1;0;1;1;1001682083;4108338635;131384;293756;13479;548596;1104434
0;1;0;0;0;0;0;1;1;1;1696773;14363427;382;686;5;1540;3326
0;0;0;1;1;0;1;0;0;0;0;521309;73;45;0;96;200
0;0;0;1;0;0;1;1;0;1;11336691;79571309;1296;1500;110;5494;11690
0;1;1;0;1;0;0;0;1;1;1070000;3058797;134;147;0;647;1370
0;1;1;0;0;0;0;1;1;1;3549731;46457221;998;4404;3;4654;8433
0;0;0;1;1;0;0;0;0;1;2084800;2631107;177;544;0;228;540
0;1;0;1;0;0;0;0;0;0;7391690;54350828;1020;5312;12;3219;6824
0;0;0;1;1;0;0;0;0;0;495000;6364861;80;368;0;288;215
0;0;0;1;0;0;1;0;0;0;104972135;372958705;28503;148939;1303;70333;105254
