Number;Frequency
0;323712
6;92224
12;38065
18;17165
24;9618
30;7016
36;5185
42;4017
48;3310
54;2543
60;2200
66;1891
72;1654
78;1460
84;1135
90;1098
96;1063
102;1036
108;917
114;716
120;695
126;546
132;495
138;418
144;371
150;372
156;349
162;322
168;341
174;311
180;281
186;288
192;216
198;372
204;344
210;319
216;243
222;210
228;182
234;160
240;180
246;139
252;132
258;143
264;160
270;152
276;115
282;100
288;143
294;146
