Number;Frequency
0;61433
2;79906
4;142707
6;49114
8;33803
10;244458
12;31892
14;95013
16;26185
18;9012
20;210271
22;10826
24;86005
26;6880
28;8387
30;264537
32;16061
34;72325
36;7915
38;3119
40;481502
42;5059
44;69019
46;2097
48;1483
50;229625
52;2442
54;49423
56;1945
58;1346
60;351402
62;1546
64;17098
66;2530
68;419
70;99963
72;216
74;9134
76;373
78;144
80;30007
82;1169
84;1625
86;228
88;154
90;7851
92;194
94;1175
96;254
98;81130
